"ID","Type","Stars","Status","Owner","Summary","Opened"
"6593","","2","New","","gerrit footer parser breaks URLs","Jun 28, 2017"
"6591","Bug","1","Released","","Error in POST /r/projects/test/branches:delete java.lang.NullPointerException","Jun 28, 2017"
"6590","Bug","1","CannotReproduce","","Gerrit auto suggest not working in search bar","Jun 28, 2017"
"6589","Bug","2","New","","internal server error with the unicode key U+202F in the review message","Jun 28, 2017"
"6588","","1","Duplicate","","Shows server unavailable at the bottom and an empty page","Jun 28, 2017"
"6587","","2","WontFix","logan@google.com","User can't Start Review on WIP change owned by one of their linked accounts","Jun 28, 2017"
"6586","","1","CannotReproduce","","Scrolling randomly jumping around while typing review reply","Jun 28, 2017"
"6585","Bug","1","Duplicate","kaspern@google.com","Monospace Font Family in Gerrit Should Include Consolas","Jun 28, 2017"
"6584","","1","Duplicate","","""Raw diff"" is difficult to find in gerrit","Jun 28, 2017"
"6583","Bug","1","Released","alic...@google.com","Due to rebase gives false negative on chunk","Jun 28, 2017"
"6582","Bug","2","New","","Gerrit emails watchlist before changelist sent for review","Jun 27, 2017"
"6581","Bug","2","New","","adding comments while uploading a new patchset results in internal server errors","Jun 22, 2017"
"6580","Bug","2","New","","Green is too light in + lines of e-mailed diffs","Jun 27, 2017"
"6579","","1","Released","vikt...@google.com","Run server crashes after file-open failure","Jun 27, 2017"
"6578","Feature","2","New","","UI should be less flat","Jun 27, 2017"
"6577","","3","Accepted","","Should alternate row background color","Jun 27, 2017"
"6576","","1","Duplicate","","Underscores don't show up","Jun 27, 2017"
"6575","","3","New","","Racy setting of bits seems to get things stuck","Jun 27, 2017"
"6574","","1","Duplicate","","Show tooltip explaining due_to_rebase chunks","Jun 27, 2017"
"6573","Bug","2","Submitted","thoma...@yahoo.com","its-bugzilla fails to build using bazel","Jun 27, 2017"
"6572","Bug","1","CannotReproduce","","[git-repo init -g --groups]  Ignored manifest groups logic never ignores specified group","Jun 26, 2017"
"6571","Bug","3","New","luca....@gmail.com","Git/HTTP authentication on Gerrit slave tries to update the All-Users repository","Jun 25, 2017"
"6570","","1","Duplicate","","editing in ui","Jun 24, 2017"
"6569","","7","Released","beckysiegel@google.com","Add project access view","Jun 24, 2017"
"6567","","2","Released","vikt...@google.com","Comment tooltip doesn't show up in correct place","Jun 24, 2017"
"6566","","1","Released","","""Show more"" related changes does nothing","Jun 24, 2017"
"6565","","8","Accepted","","Custom font-family preference","Jun 24, 2017"
"6564","","1","WontFix","","lgtm in the ""Reply"" dialog is only parsed if it's the first word","Jun 24, 2017"
"6563","","1","Accepted","","Shift-A should grow the right pane to fit if fit-to-width is true","Jun 24, 2017"
"6562","","1","Duplicate","","Gerrit doesn't send ""wants you to review"" email when added to review later","Jun 23, 2017"
"6561","","1","Duplicate","","Topic is not visible in the change table","Jun 23, 2017"
"6559","Bug","1","Invalid","","gerrit inline edit broken on gerrit-review when renaming changes","Jun 23, 2017"
"6558","Bug","2","New","","Renames lost in later patchsets","Jun 23, 2017"
"6557","","4","Released","vikt...@google.com","Multiline commenting not enabled","Jun 23, 2017"
"6556","","2","Accepted","","Tab completion should add space after completed text","Jun 23, 2017"
"6555","","1","Duplicate","","Cl description not scrollable horizontally on mobil","Jun 23, 2017"
"6554","Feature","3","New","","Patch set uploads to CL from different authors","Jun 23, 2017"
"6553","","1","WontFix","","Add support for role suffix in emails","Jun 22, 2017"
"6552","","1","Duplicate","","Selecting the path of a diff is nigh impossible!","Jun 22, 2017"
"6551","","4","Invalid","","Emails for new patchsets - why?","Jun 22, 2017"
"6550","Feature","9","Accepted","","Different diff width depending on a language?","Jun 22, 2017"
"6549","","1","Duplicate","","Commit msg does not line wrap","Jun 22, 2017"
"6548","","3","Accepted","","UX inconsistencies with text entries","Jun 22, 2017"
"6546","Bug","2","Released","kaspern@google.com","gerrit dashboard not compact","Jun 21, 2017"
"6545","","2","Released","","PG Admin UI doesn't have ""Rebase Always"" as an available submit strategy","Jun 21, 2017"
"6544","Bug","2","Released","xchangcheng@google.com","All-Projects access cannot be saved without upload permission","Jun 21, 2017"
"6543","Feature","43","New","","Provide project setting or checkbox to suppress emails on all commit message edits","Jun 21, 2017"
"6542","","2","CannotReproduce","","Files list does not show renames (git mv)","Jun 21, 2017"
"6541","Bug","1","Submitted","hie...@google.com","Replies sent via e-mail are egregiously truncated","Jun 20, 2017"
"6540","Bug","4","Accepted","","Delete reviewer on WIP change should notify according to pending reviewers","Jun 21, 2017"
"6539","","10","Accepted","","Doesn't syntax highlight .ts or .tsx files","Jun 20, 2017"
"6538","","1","CannotReproduce","","Comments should retain paragraph formatting","Jun 20, 2017"
"6537","Bug","2","New","","Commit message is not appended to linked Monorail Issue","Jun 20, 2017"
"6536","","2","Accepted","","Changing topics is unnecessarily difficult","Jun 20, 2017"
"6535","Feature","2","New","","Add support for allow group project members to add other members","Jun 20, 2017"
"6534","Bug","2","Invalid","kaspern@google.com","Replace iron-dropdown with gr-dropdown in diff-view","Jun 20, 2017"
"6533","Bug","2","New","","Assignee field not showing value after refresh","Jun 19, 2017"
"6532","Feature","3","New","","Provide undo after Discard","Jun 19, 2017"
"6531","Bug","3","ChangeUnderReview","","gerrits log is filling up with patch set 0 of change 2 not found","Jun 19, 2017"
"6530","","3","Duplicate","","project ""Clone with commit-msg hook"" is incorrect","Jun 19, 2017"
"6529","","2","Released","","Label abbreviation is inconsistent between old and new UIs","Jun 18, 2017"
"6528","Feature","2","Released","","Update its-base to support soy template","Jun 18, 2017"
"6527","Bug","7","Released","wyatta@google.com","Random spaces appearing in Gerrit emails, leading to broken HTML","Jun 17, 2017"
"6526","","2","Duplicate","","Provide a raw patch for download","Jun 17, 2017"
"6525","","2","Released","kaspern@google.com","Editable patchset descriptions are not visually distinguishable from uneditable ones","Jun 16, 2017"
"6524","","3","Released","vikt...@google.com","gr-reviewer-updates-parser test is failing intermittently","Jun 16, 2017"
"6523","","3","Duplicate","","""Server error: only edit for current patch set can be published""","Jun 16, 2017"
"6522","","5","Released","beckysiegel@google.com","Clone with commit-msg hook command broken on projects with slash in name","Jun 16, 2017"
"6521","Bug","4","Untriaged","","Gerrit is very sluggish","Jun 16, 2017"
"6520","","2","Duplicate","","Tryjob triggering shouldn't send email","Jun 16, 2017"
"6519","Bug","3","Released","","Changes created throw webui are failing with null pointer","Jun 16, 2017"
"6518","Bug","4","Accepted","","""Show more"" for CL description seems unnecessary and is a bit confusing","Jun 16, 2017"
"6517","Bug","1","Released","wyatta@google.com","Reviewers are gone","Jun 16, 2017"
"6516","Bug","1","Released","aga...@chromium.org","git cl patch of stacked CLs creates unnecessary conflicts","Jun 16, 2017"
"6515","","3","Accepted","","don't hide parts of the cl description by default","Jun 16, 2017"
"6514","","7","Released","nick@chromium.org","PolyGerrit layout takes 18+ seconds on large file when ""context: whole file"" is enabled","Jun 16, 2017"
"6513","Bug","3","New","","slow early reviewer auto-completions overwrite later ones","Jun 16, 2017"
"6512","Bug","3","Accepted","","Cherry-picking form the new UI puts me at a 404","Jun 15, 2017"
"6511","","1","WontFix","","git cl patch does not accept Gerrit issue numbers","Jun 15, 2017"
"6509","","1","Released","wyatta@google.com","Fix broken PG tests in Safari","Jun 15, 2017"
"6508","Bug","4","Released","","Documented hooks configuration values do not match values actually used","Jun 14, 2017"
"6507","Bug","3","New","","The author date of commit produced by calling set project parent REST API is wrong","Jun 14, 2017"
"6506","","1","Duplicate","","Code appearing behind and below footer","Jun 14, 2017"
"6505","Bug","7","Accepted","","SSHD Ed25519 host key not parsed for listing in UI","Jun 14, 2017"
"6504","Bug","5","Released","","SSHD Ed25519 invalid host key signature (fix available upstream)","Jun 14, 2017"
"6503","Feature","6","New","","Add option to show all files and show / hide unrelated changes","Jun 14, 2017"
"6502","","4","Submitted","hie...@google.com","Add REST API endpoint to edit commit message","Jun 14, 2017"
"6501","","1","Released","aga...@chromium.org","Gerrit sends entire diff for patch via email","Jun 14, 2017"
"6500","Bug","2","Released","beckysiegel@google.com","Editing patch descriptions is slow and the text area resizes","Jun 14, 2017"
"6499","Feature","4","Accepted","","Add support for pagination and suggest in plugins list","Jun 14, 2017"
"6498","Bug","2","Released","wyatta@google.com","Polymer Resin emits failure to sanitize warnings","Jun 14, 2017"
"6496","","1","WontFix","","`git cl patch` hangs indefinitely","Jun 14, 2017"
"6495","","3","Accepted","","Ensure some comments are shown when clicking ""Show comments only""","Jun 13, 2017"
"6494","","3","Accepted","","Navigating a long list of related changes is very painful","Jun 13, 2017"
"6493","Feature","4","New","","The reland flow for Gerrit could be improved :)","Jun 13, 2017"
"6492","","2","Released","beckysiegel@google.com","misaligned related changes","Jun 13, 2017"
"6491","Bug","1","Duplicate","","""duplicate element definition"" warning during build","Jun 13, 2017"
"6490","","3","Accepted","","Code syntax highlighting fails on in-line protos","Jun 13, 2017"
"6489","","3","Released","vikt...@google.com","Implement OAuth support in PolyGerrit","Jun 13, 2017"
"6488","","2","Duplicate","","No topic column in PolyGerrit.","Jun 13, 2017"
